CPSF1,3.306394048
SPTB,3.303458228
TAF1B,3.295935459
WDHD1,3.294919668
ARL6IP5,3.294611541
HIST2H2AB,3.292757918
PARP2,3.292089574
SMARCA4,3.290106803
SKIV2L2,3.283799557
MBD2,3.283754792
SDAD1,3.279588439
MAGED1,3.277722199
APOBEC3C,3.276736561
XRCC4,3.263108599
MRPS9,3.262624403
CHST14,3.25839152
DDX27,3.254960227
CDC73,3.244768221
RPL10,3.24467099
VTI1B,3.24080667
DIDO1,3.235991919
EIF5B,3.235770669
CHERP,3.228601477
RAB18,3.226433995
RANBP2,3.222008572
TOP1,3.208040653
TUBGCP5,3.204654484
MATR3,3.203106546
,3.201494561
RBM39,3.197687947
SAFB2,3.193162283
CD3EAP,3.19162103
SRSF1,3.189491763
TSSC1; EIPR1,3.189408542
POLR1A,3.18819379
ZNF131,3.188186409
VPS54,3.18781297
CDC16,3.187719733
TCIRG1,3.184726706
TAF15,3.18129404
RSRC1,3.169576675
CDCA2,3.169451285
LEMD3,3.163805552
OSTC,3.159762787
USP46,3.156254575
HNRNPH3,3.155398848
MRPS18B,3.151424996
SQLE,3.150193081
SRSF9,3.144412067
CHD4,3.143953711
SRBD1,3.142535368
SLC12A7,3.139238214
LMAN2,3.136976734
NKRF,3.122590496
RIF1,3.122529434
ARL8B,3.121613347
IKBIP,3.117161466
BRCA1,3.10012642
ZNF687,3.099122782
TAF1D,3.085669304
FAM169A,3.083750102
RAB1A,3.073243784
SLU7,3.070218563
PRPF8,3.060901265
MTOR,3.058495819
PPFIBP1,3.057620362
GTF2H2; GTF2H2C,3.046629272
PLEKHA5,3.03746599
ZC3H14,3.031613977
DNAJB12,3.03039816
BAZ1B,3.02979868
RBM17,3.027064212
FLII,3.026241762
FKBP8,3.018514877
MRPS34,3.017998772
ADD3,3.014848543
GPS2,3.013520743
PRPF4B,3.009115218
RPS15,3.006469716
BET1,3.001618207
EMC7,2.995292046
RBMX,2.995153318
ERGIC1,2.985710436
RPL31,2.985674224
SRSF7,2.963669247
DDX55,2.96014311
WDR5,2.959211515
RPL37A,2.949062477
RPS13,2.948350707
PPP4R2,2.948028507
DNAJC1,2.94455107
EDIL3,2.941229508
KDM6A,2.93883996
MRPS31,2.927149582
XPC,2.92397588
YIPF3,2.922992868
DHX38,2.919900873
KAT7,2.919019388
ATAD5,2.915837016
HNRNPR,2.915410365
NIPBL,2.908014431
STAU1,2.902093836
GATAD2A,2.900938968
GON4L,2.900506533
SSR1,2.899376108
NUP37,2.897993373
ZNF638,2.889403267
STX8,2.886686488
MRPS35,2.885826284
GOLGB1,2.883771923
ARF4,2.879823313
PKP2,2.878088505
EBP,2.875755734
CACTIN,2.874700758
ANAPC5,2.873795384
ESYT1,2.873148017
ANAPC7,2.87078117
ZNF532,2.866775763
EXOSC3,2.862930195
AATF,2.852175741
EED,2.849615597
TUBGCP3,2.845656633
RBM12B,2.840791139
ZRANB2,2.83439726
RAB7A,2.824467323
RLTPR; CARMIL2,2.823228043
CTNNB1,2.822103002
CT45A3; CT45A5,2.821903701
RPS25,2.82035115
MSL2,2.817322214
DHX15,2.815935318
DCTN4,2.805996803
RNGTT,2.793964136
INTS6,2.7905315
CCDC9,2.788891467
DMXL1,2.786672552
ANAPC15,2.786029931
TNS3,2.785271421
SRRM2,2.785191867
BRD2,2.780474725
CDYL,2.779898938
LARP1,2.774997392
RPL11,2.772727925
RBM22,2.771725529
GBF1,2.76629734
SPCS2,2.763231423
NFATC1,2.760321506
HLA-A,2.756840087
CDC42BPA,2.749860287
EIF2B5,2.749535261
RPS14,2.749226751
TAF1,2.743375841
EMD,2.741827608
LSG1,2.726535207
DMAP1,2.721326161
TOP2A,2.71523827
SPATA5,2.709380689
DDX10,2.707232144
VPRBP; DCAF1,2.705770734
UPF2,2.702744292
CENPT,2.702597959
ZBTB40,2.694622158
GPATCH4,2.690074963
DDB2,2.687654742
CEP85,2.687051373
VWA9; INTS14,2.685693133
KAT8,2.684606188
SNTB2,2.675246727
DCAKD,2.674919213
DDX5,2.67438169
RBBP6,2.665169347
CANX,2.663969015
CLINT1,2.661420112
LRCH3,2.64861823
VPS8,2.648092334
AURKB,2.64303699
SCAMP1,2.640970533
EIF3K,2.636018824
YTHDC1,2.635459639
RBM19,2.633168389
UTRN,2.628733088
GNL3,2.627649611
RAB13,2.626343868
PFKL,2.616573773
MBD3,2.615090609
SYMPK,2.614161228
STX10,2.612579023
PHF5A,2.60958835
GEMIN5,2.605541464
MYL12B; MYL12A,2.602049729
PTCD3,2.599987951
YEATS2,2.596278703
RPS17; RPS17L,2.593228144
ATP1A1,2.58939096
CEP44,2.58791992
CKAP4,2.584479862
RPL7A,2.57952948
STRN,2.570965908
SLC2A1,2.559413387
TMEM2,2.557607402
THOC2,2.55737779
SMARCA2,2.545309621
COPE,2.543833937
DDX3X,2.538304029
UPF1,2.536732854
MDC1,2.533567316
QSER1,2.524867027
ARHGEF2,2.523885985
NFRKB,2.523585296
