composition_bin,demixing_composition
85-95,0.057387
65-85,0.739124
50,0.904796
15-35,0.31759
5-15,0.037775
85-95,0.003708
65-85,0.274673
50,0.830757
15-35,0.311603
5-15,0.067018
85-95,0.00279
65-85,0.032312
50,0.169756
15-35,0.071997
85-95,0.002367
85-95,0.007458
65-85,0.020057
50,0.083872
15-35,0.025003
5-15,0.008196
85-95,0.00543
65-85,0.016042
50,0.025395
15-35,0.026363
5-15,0.011976
85-95,0.002904
65-85,0.01567
50,0.016105
85-95,0.001418
85-95,0.004552
65-85,0.055421
50,0.129469
15-35,0.035121
5-15,0.008402
85-95,0.004176
65-85,0.024797
50,0.04952
15-35,0.015701
5-15,0.002377
85-95,0.015603
65-85,0.07507
50,0.132758
85-95,0.018872
65-85,0.096591
15-35,0.209601
5-15,0.029872
85-95,0.082276
65-85,0.329181
50,0.687591
15-35,0.225469
5-15,0.006047
85-95,0.043809
65-85,0.176455
50,0.372191
15-35,0.064748
5-15,0.002916
85-95,0.066958
65-85,0.175755
50,0.817988
85-95,0.034683
65-85,0.149609
50,0.645688
15-35,0.752466
85-95,0.012514
65-85,0.184131
85-95,0.040059
65-85,0.262184
50,0.826727
15-35,0.597921
85-95,0.017014
65-85,0.25453
85-95,0.032447
65-85,0.217352
85-95,0.001535
65-85,0.009526
50,0.026454
15-35,0.007608
85-95,0.002064
50,0.075415
15-35,0.034053
85-95,0.014612
65-85,0.092861
50,0.073225
15-35,0.008766
5-15,0.000489
85-95,0.009469
65-85,0.027913
50,0.025918
15-35,0.005224
5-15,0.000475
85-95,0.010584
65-85,0.167484
50,0.276016
85-95,0.006405
65-85,0.0855
50,0.267686
15-35,0.368082
85-95,0.01393
65-85,0.145822
85-95,0.051508
65-85,0.322948
50,0.65039
15-35,0.074422
5-15,0.000962
85-95,0.046366
65-85,0.27188
85-95,0.027772
65-85,0.223724
85-95,0.000709
50,0.02051
85-95,0.003848
65-85,0.033511
50,0.021955
15-35,0.00653
5-15,0.000505
85-95,0.001752
65-85,0.022434
50,0.023886
15-35,0.005587
5-15,0.000699
85-95,0.004276
65-85,0.016838
50,0.059826
15-35,0.01703
85-95,0.001478
65-85,0.003688
85-95,0.00095
85-95,0.002584
65-85,0.068768
50,0.036982
15-35,0.020607
5-15,0.001526
85-95,0.033106
65-85,0.056587
15-35,0.01363
5-15,0.001577
65-85,0.065256
50,0.059144
15-35,0.020507
5-15,0.00389
65-85,0.021866
50,0.008651
15-35,0.014986
85-95,0.001134
65-85,0.00678
65-85,0.054407
50,0.053956
15-35,0.013838
5-15,0.001243
85-95,0.012053
65-85,0.068671
50,0.124006
15-35,0.098377
5-15,0.013526
65-85,0.018209
50,0.087929
15-35,0.085118
85-95,0.003756
85-95,0.006418
65-85,0.119911
15-35,0.122323
5-15,0.010852
85-95,0.050532
85-95,0.003038
65-85,0.008406
50,0.053491
15-35,0.052132
85-95,0.001579
65-85,0.01628
50,0.065754
15-35,0.066772
85-95,0.001203
65-85,0.035035
85-95,0.006395
65-85,0.048132
50,0.070122
15-35,0.067472
5-15,0.004936
85-95,0.058569
65-85,0.199633
85-95,0.036621
65-85,0.00771
50,0.005308
15-35,0.017222
85-95,0.000448
65-85,0.002096
65-85,0.016703
50,0.006313
15-35,0.003234
5-15,0.00091
5-15,0.01271
85-95,0.024707
85-95,0.031369
65-85,0.321939
65-85,0.739564
50,0.951157
15-35,0.189786
85-95,0.000429
85-95,0.002615
50,0.031109
15-35,0.009531
50,0.264617
65-85,0.002586
50,0.023479
15-35,0.009241
50,0.562551
50,0.987704
50,0.951927
85-95,0.004597
50,0.040296
15-35,0.006135
50,0.678873
65-85,0.068851
50,0.446867
15-35,0.021839
50,0.561978
50,0.252068
5-15,0.000125
65-85,0.006477
50,0.020206
15-35,0.008991
85-95,0.00018
65-85,0.191049
50,0.961351
65-85,0.004404
50,0.021263
15-35,0.009499
85-95,0.00075
50,0.076768
5-15,0.000318
65-85,0.040423
50,0.148999
15-35,0.047225
85-95,0.000461
65-85,0.132016
50,0.420004
15-35,0.120645
85-95,0.001263
50,0.107143
5-15,0.002532
85-95,0.000306
65-85,0.215406
50,0.71636
15-35,0.285476
65-85,0.009812
50,0.016472
15-35,0.004708
50,0.047218
65-85,0.104007
50,0.587264
15-35,0.05454
65-85,0.008262
50,0.055022
15-35,0.115603
50,0.129595
85-95,0.000436
50,0.330603
85-95,0.001592
65-85,0.005344
50,0.012746
15-35,0.005273
50,0.331463
85-95,0.006705
50,0.100827
5-15,0.004263
50,0.386237
5-15,0.000194
50,0.889007
85-95,0.000726
50,0.146977
50,0.524117
65-85,0.014092
50,0.040832
15-35,0.00675
50,0.539472
85-95,0.001537
50,0.122613
5-15,0.000582
85-95,0.000472
65-85,0.02898
50,0.045541
15-35,0.023118
65-85,0.006043
50,0.167902
65-85,0.007268
50,0.033509
15-35,0.0354
85-95,0.000103
65-85,0.00776
50,0.071182
15-35,0.03087
50,0.455987
85-95,0.00099
50,0.050833
5-15,0.001445
85-95,0.000211
50,0.831051
50,0.688738
85-95,0.002099
50,0.845801
50,0.989265
50,0.149263
85-95,0.000265
50,0.157063
50,0.557314
50,0.364626
85-95,0.001976
50,0.905819
65-85,0.031092
50,0.244277
15-35,0.174783
50,0.095723
85-95,0.010068
50,0.173046
5-15,0.004713
85-95,0.000254
65-85,0.076687
50,0.27792
85-95,0.000276
85-95,0.01592
50,0.511668
85-95,0.000279
65-85,0.256621
50,0.99076
15-35,0.277948
65-85,0.089923
50,0.359246
15-35,0.027527
65-85,0.005274
50,0.02963
15-35,0.004543
85-95,0.083244
50,0.385187
15-35,0.010786
65-85,0.299348
50,0.906996
15-35,0.465816
65-85,0.206286
50,0.972716
15-35,0.212758
65-85,0.112369
50,0.295854
15-35,0.012477
65-85,0.201915
50,0.719322
15-35,0.016287
50,0.050136
85-95,0.001655
50,0.085374
50,0.065402
50,0.118993
85-95,0.000856
50,0.247586
85-95,0.00087
50,0.035307
50,0.033545
65-85,0.005411
50,0.085465
15-35,0.044428
65-85,0.013005
50,0.074627
15-35,0.014055
65-85,0.003272
50,0.02982
15-35,0.046859
50,0.238566
85-95,0.00181
65-85,0.190575
50,0.542416
15-35,0.096342
85-95,0.028055
85-95,0.004254
50,0.240872
5-15,0.005106
65-85,0.224904
50,0.92827
15-35,0.411037
85-95,0.000945
65-85,0.013357
50,0.030001
15-35,0.004021
50,0.148571
50,0.538928
65-85,0.181955
50,0.733677
15-35,0.107451
65-85,0.020332
50,0.305213
50,0.411338
50,0.492036
50,0.535537
85-95,0.002869
50,0.470903
50,0.059346
50,0.385777
65-85,0.047376
50,0.298967
15-35,0.0707
50,0.321563
85-95,0.005629
50,0.530281
5-15,0.007766
85-95,0.001894
65-85,0.113066
50,0.252569
15-35,0.102263
85-95,0.000376
85-95,0.016165
50,0.119198
15-35,0.042684
50,0.144031
50,0.111869
50,0.267222
85-95,0.012001
50,0.609553
5-15,0.045141
50,0.064147
85-95,0.018591
50,0.390794
5-15,0.020566
