interaction_type,demixing
H-H,0.000324
H-H,0.003333
H-H,0.008806
H-H,0.003862
H-H,0.000505
H-H,0.000507
C-H,0.002942
C-H,0.023401
C-H,0.045004
C-H,0.007205
C-H,0.000475
C-H,0.002457
C-H,0.023544
C-H,0.038676
C-H,0.010238
C-H,0.001774
H-P,0.002664
H-P,0.008219
H-P,0.010682
H-P,0.007633
C-H,0.000272
C-H,0.003443
C-H,0.020846
C-H,0.050647
C-H,0.008893
C-H,0.001839
C-C,0.012597
C-C,0.14674
C-C,0.435163
C-C,0.152558
C-C,0.033879
C-C,0.000389
C-C,0.009888
C-C,0.035129
C-C,0.019592
C-C,0.005345
C-C,0.00298
C-C,0.071829
C-C,0.143323
C-C,0.113861
C-C,0.011083
C-H,0.085145
C-H,0.495608
C-H,0.932232
C-H,0.418835
C-H,0.092171
C-H,0.000529
C-H,0.042377
C-H,0.537616
C-H,0.339101
C-H,0.038272
C-H,0.00321
C-H,0.011078
C-H,0.185741
C-H,0.064958
C-H,0.020583
C-H,0.008051
C-H,0.03532
C-H,0.114369
C-H,0.094297
C-C,0.006399
C-C,0.031496
C-C,0.048955
C-C,0.027919
C-C,0.003668
C-C,0.04575
C-C,0.051741
C-C,0.027107
C-C,0.002344
C-C,0.003068
C-C,0.024094
C-C,0.10821
C-C,0.019802
C-P,0.015525
C-H,0.034372
C-C,0.001506
C-C,0.013005
C-C,0.031999
C-C,0.010258
C-C,0.003761
C-C,0.000639
C-C,0.008943
C-C,0.030646
C-C,0.031735
C-C,0.001034
C-C,0.00346
C-C,0.078697
C-C,0.138947
C-C,0.136135
C-C,0.004079
C-H,0.003798
C-H,0.039701
C-H,0.252119
C-H,0.188102
C-H,0.055984
C-H,0.00102
C-H,0.00614
C-H,0.038516
C-H,0.019661
C-H,0.005749
C-H,0.004302
C-H,0.010954
C-H,0.004445
C-H,0.001317
C-H,0.017783
C-H,0.060847
C-C,0.004218
C-C,0.093255
C-C,0.122264
C-C,0.115514
C-C,0.00472
C-C,0.002494
C-C,0.025119
C-C,0.021658
C-C,0.009271
C-C,0.004233
C-P,0.010392
C-P,0.078382
C-P,0.204648
C-C,0.000697
C-C,0.058717
C-C,0.026952
C-C,0.145733
C-C,0.342319
C-C,0.065443
C-C,0.034553
C-P,0.016984
C-H,0.032906
C-C,0.016017
C-C,0.055158
C-C,0.066116
C-C,0.119444
C-C,0.423052
C-C,0.241745
C-H,0.001157
C-H,0.04643
C-H,0.565055
C-H,0.316491
C-H,0.082295
C-H,0.001554
C-H,0.031733
C-H,0.25135
C-H,0.201701
C-H,0.005738
C-H,0.158209
C-C,0.014589
C-C,0.140969
C-C,0.300527
C-C,0.164969
C-C,0.026254
C-H,0.076602
C-C,0.215866
C-C,0.415724
C-C,0.228256
C-C,0.000803
C-C,0.011148
C-C,0.015479
C-C,0.014601
C-C,0.004106
C-C,0.011242
C-C,0.020915
C-C,0.105526
C-C,0.048584
C-C,0.025254
C-H,0.085775
C-H,0.658685
C-H,0.833357
C-H,0.457365
C-H,0.075186
C-H,0.008851
C-H,0.44773
C-H,0.170442
C-H,0.002197
C-H,0.012752
C-H,0.059088
C-H,0.08934
C-H,0.010218
