average_dG,dGij,slope,r_squared
-5.0833375,-6.019666,0.8410924415024891,0.5639181114394239
-5.0833375,-5.436496,0.8410924415024891,0.5639181114394239
-5.0833375,-5.076495,0.8410924415024891,0.5639181114394239
-5.0833375,-4.625501,0.8410924415024891,0.5639181114394239
-5.0833375,-4.18119,0.8410924415024891,0.5639181114394239
-4.4741575,-5.730336,0.8410924415024891,0.5639181114394239
-4.4741575,-4.754501,0.8410924415024891,0.5639181114394239
-4.4741575,-4.038344,0.8410924415024891,0.5639181114394239
-4.4741575,-3.397789,0.8410924415024891,0.5639181114394239
-4.4741575,-3.033688,0.8410924415024891,0.5639181114394239
-4.406505,-5.820033,0.8410924415024891,0.5639181114394239
-4.406505,-5.313632,0.8410924415024891,0.5639181114394239
-4.406505,-4.64213,0.8410924415024891,0.5639181114394239
-4.406505,-3.848082,0.8410924415024891,0.5639181114394239
-4.406505,-3.265747,0.8410924415024891,0.5639181114394239
-3.0373295,-3.774764,0.8410924415024891,0.5639181114394239
-3.0373295,-1.630067,0.8410924415024891,0.5639181114394239
-3.0373295,-0.838003,0.8410924415024891,0.5639181114394239
-4.912582,-5.496102,0.8410924415024891,0.5639181114394239
-4.912582,-5.120183,0.8410924415024891,0.5639181114394239
-3.067774,-3.986746,0.8410924415024891,0.5639181114394239
-3.067774,-1.224379,0.8410924415024891,0.5639181114394239
-3.067774,-0.542412,0.8410924415024891,0.5639181114394239
-3.0773289999999998,-3.910653,0.8410924415024891,0.5639181114394239
-5.4228125,-5.810978,0.8410924415024891,0.5639181114394239
-5.4228125,-6.018019,0.8410924415024891,0.5639181114394239
-5.4228125,-6.140196,0.8410924415024891,0.5639181114394239
-5.4228125,-5.914686,0.8410924415024891,0.5639181114394239
-5.4228125,-6.14047,0.8410924415024891,0.5639181114394239
-4.933892500000001,-5.070211,0.8410924415024891,0.5639181114394239
-4.933892500000001,-4.769782,0.8410924415024891,0.5639181114394239
-4.933892500000001,-4.668873,0.8410924415024891,0.5639181114394239
-4.933892500000001,-4.453128,0.8410924415024891,0.5639181114394239
-4.933892500000001,-4.194827,0.8410924415024891,0.5639181114394239
-4.381829,-5.032372,0.8410924415024891,0.5639181114394239
-4.381829,-4.65641,0.8410924415024891,0.5639181114394239
-4.381829,-3.753021,0.8410924415024891,0.5639181114394239
-4.381829,-3.436479,0.8410924415024891,0.5639181114394239
-4.381829,-3.328726,0.8410924415024891,0.5639181114394239
-5.257491,-5.682993,0.8410924415024891,0.5639181114394239
-5.257491,-5.763852,0.8410924415024891,0.5639181114394239
-5.257491,-5.530066,0.8410924415024891,0.5639181114394239
-5.257491,-5.518558,0.8410924415024891,0.5639181114394239
-5.257491,-5.312489,0.8410924415024891,0.5639181114394239
-4.8338475,-5.265928,0.8410924415024891,0.5639181114394239
-4.8338475,-5.983368,0.8410924415024891,0.5639181114394239
-4.8338475,-5.781608,0.8410924415024891,0.5639181114394239
-4.8338475,-5.676951,0.8410924415024891,0.5639181114394239
-4.8338475,-5.290619,0.8410924415024891,0.5639181114394239
-4.998956,-5.77277,0.8410924415024891,0.5639181114394239
-4.998956,-5.738096,0.8410924415024891,0.5639181114394239
-4.998956,-5.711659,0.8410924415024891,0.5639181114394239
